Data,IBC-Br - índice real dessazonalizado (2002=100) - - - Banco Central do Brasil- Sistema Gerenciador de Séries Temporais (Bacen Outras/SGS) - SGS12_IBCBRDESSAZ12,
1990.01,,
1990.02,,
1990.03,,
1990.04,,
1990.05,,
1990.06,,
1990.07,,
1990.08,,
1990.09,,
1990.10,,
1990.11,,
1990.12,,
1991.01,,
1991.02,,
1991.03,,
1991.04,,
1991.05,,
1991.06,,
1991.07,,
1991.08,,
1991.09,,
1991.10,,
1991.11,,
1991.12,,
1992.01,,
1992.02,,
1992.03,,
1992.04,,
1992.05,,
1992.06,,
1992.07,,
1992.08,,
1992.09,,
1992.10,,
1992.11,,
1992.12,,
1993.01,,
1993.02,,
1993.03,,
1993.04,,
1993.05,,
1993.06,,
1993.07,,
1993.08,,
1993.09,,
1993.10,,
1993.11,,
1993.12,,
1994.01,,
1994.02,,
1994.03,,
1994.04,,
1994.05,,
1994.06,,
1994.07,,
1994.08,,
1994.09,,
1994.10,,
1994.11,,
1994.12,,
1995.01,,
1995.02,,
1995.03,,
1995.04,,
1995.05,,
1995.06,,
1995.07,,
1995.08,,
1995.09,,
1995.10,,
1995.11,,
1995.12,,
1996.01,,
1996.02,,
1996.03,,
1996.04,,
1996.05,,
1996.06,,
1996.07,,
1996.08,,
1996.09,,
1996.10,,
1996.11,,
1996.12,,
1997.01,,
1997.02,,
1997.03,,
1997.04,,
1997.05,,
1997.06,,
1997.07,,
1997.08,,
1997.09,,
1997.10,,
1997.11,,
1997.12,,
1998.01,,
1998.02,,
1998.03,,
1998.04,,
1998.05,,
1998.06,,
1998.07,,
1998.08,,
1998.09,,
1998.10,,
1998.11,,
1998.12,,
1999.01,,
1999.02,,
1999.03,,
1999.04,,
1999.05,,
1999.06,,
1999.07,,
1999.08,,
1999.09,,
1999.10,,
1999.11,,
1999.12,,
2000.01,,
2000.02,,
2000.03,,
2000.04,,
2000.05,,
2000.06,,
2000.07,,
2000.08,,
2000.09,,
2000.10,,
2000.11,,
2000.12,,
2001.01,,
2001.02,,
2001.03,,
2001.04,,
2001.05,,
2001.06,,
2001.07,,
2001.08,,
2001.09,,
2001.10,,
2001.11,,
2001.12,,
2002.01,,
2002.02,,
2002.03,,
2002.04,,
2002.05,,
2002.06,,
2002.07,,
2002.08,,
2002.09,,
2002.10,,
2002.11,,
2002.12,,
2003.01,100.45,
2003.02,101.94,
2003.03,101.83,
2003.04,101.05,
2003.05,99.81,
2003.06,100.16,
2003.07,98.94,
2003.08,99.84,
2003.09,101.65,
2003.10,101.84,
2003.11,102.01,
2003.12,101.96,
2004.01,103.67,
2004.02,104.52,
2004.03,105.8,
2004.04,106.43,
2004.05,106.2,
2004.06,107.19,
2004.07,107.66,
2004.08,108.21,
2004.09,109.17,
2004.10,108.75,
2004.11,109.68,
2004.12,109.08,
2005.01,109.59,
2005.02,110.2,
2005.03,110.42,
2005.04,111.05,
2005.05,110.91,
2005.06,110.32,
2005.07,110.44,
2005.08,111.22,
2005.09,110.71,
2005.10,111.14,
2005.11,111.86,
2005.12,112.91,
2006.01,113.55,
2006.02,113.71,
2006.03,113.47,
2006.04,114.39,
2006.05,115.61,
2006.06,114.33,
2006.07,116.6,
2006.08,116.58,
2006.09,116.66,
2006.10,118.14,
2006.11,118.9,
2006.12,120.72,
2007.01,120.01,
2007.02,120.38,
2007.03,119.48,
2007.04,121.08,
2007.05,122.19,
2007.06,122.98,
2007.07,123.84,
2007.08,124.12,
2007.09,125.1,
2007.10,126.31,
2007.11,126.19,
2007.12,127.61,
2008.01,127.58,
2008.02,127.08,
2008.03,126.47,
2008.04,128,
2008.05,129.36,
2008.06,130.49,
2008.07,130.55,
2008.08,130.94,
2008.09,130.5,
2008.10,128.1,
2008.11,124.95,
2008.12,121.62,
2009.01,121.36,
2009.02,122.42,
2009.03,122.98,
2009.04,123.6,
2009.05,124.83,
2009.06,125.44,
2009.07,125.83,
2009.08,127.96,
2009.09,128.89,
2009.10,129.99,
2009.11,129.97,
2009.12,132.07,
2010.01,134.08,
2010.02,135.38,
2010.03,136.5,
2010.04,137.23,
2010.05,136.21,
2010.06,135.89,
2010.07,136.72,
2010.08,137.58,
2010.09,138.84,
2010.10,138.69,
2010.11,140.04,
2010.12,138.58,
2011.01,140.41,
2011.02,140.91,
2011.03,141.09,
2011.04,141.08,
2011.05,141.16,
2011.06,141.84,
2011.07,142.15,
2011.08,141.82,
2011.09,141.56,
2011.10,141.65,
2011.11,142.21,
2011.12,140.83,
2012.01,139.12,
2012.02,140.56,
2012.03,140.08,
2012.04,140.88,
2012.05,142.48,
2012.06,143.51,
2012.07,143.94,
2012.08,144.17,
2012.09,143.7,
2012.10,144.86,
2012.11,144.57,
2012.12,144.13,
2013.01,145.02,
2013.02,143.87,
2013.03,145.04,
2013.04,146.25,
2013.05,146.76,
2013.06,146.35,
2013.07,147.07,
2013.08,147.15,
2013.09,147.81,
2013.10,147.99,
2013.11,148.32,
2013.12,148.74,
2014.01,148.3,
2014.02,147.97,
2014.03,147.79,
2014.04,147.09,
2014.05,146.33,
2014.06,143.43,
2014.07,144.83,
2014.08,145.64,
2014.09,146.17,
2014.10,145.37,
2014.11,145.6,
2014.12,146.23,
2015.01,144.99,
2015.02,143.96,
2015.03,143.61,
2015.04,141.95,
2015.05,141,
2015.06,139.44,
2015.07,138.44,
2015.08,138.72,
2015.09,137.61,
2015.10,138.69,
2015.11,136.69,
2015.12,136.39,
2016.01,135.59,
2016.02,135.42,
2016.03,134.53,
2016.04,134.47,
2016.05,134.13,
2016.06,134.61,
2016.07,134.58,
2016.08,133.69,
2016.09,133.65,
2016.10,133.41,
2016.11,133.17,
2016.12,132.55,
2017.01,133.39,
2017.02,135.42,
2017.03,135.23,
2017.04,135.33,
2017.05,134.98,
2017.06,135.87,
2017.07,136.37,
2017.08,135.51,
2017.09,135.54,
2017.10,135.91,
2017.11,135.89,
2017.12,138.01,
2018.01,137.13,
2018.02,136.72,
2018.03,136.53,
2018.04,137.22,
2018.05,133.05,
2018.06,137.32,
2018.07,137.86,
2018.08,138.76,
2018.09,138.15,
2018.10,138.25,
2018.11,138.46,
2018.12,139.09,
2019.01,139.01,
2019.02,137.57,
2019.03,137.01,
2019.04,136.92,
2019.05,138.57,
2019.06,138.81,
2019.07,138.25,
2019.08,138.13,
2019.09,139,
2019.10,140.3,
2019.11,139.62,
2019.12,139.23,
2020.01,139.69,
2020.02,139.59,
2020.03,129.79,
2020.04,117.26,
2020.05,121.05,
2020.06,126.93,
2020.07,130.98,
2020.08,133.6,
2020.09,136.61,
2020.10,139,
2020.11,138.92,
2020.12,139.59,
2021.01,139.83,
2021.02,141.07,
2021.03,136.02,
2021.04,137.73,
2021.05,138.9,
2021.06,138.95,
2021.07,138.75,
2021.08,138.74,
2021.09,138.61,
2021.10,139.19,
2021.11,140.63,
2021.12,141.36,
2022.01,139.99,
2022.02,140.96,
2022.03,142.16,
2022.04,142.06,
2022.05,142.33,
2022.06,143.39,
2022.07,146.53,
2022.08,144.41,
2022.09,144.07,
2022.10,143.69,
2022.11,141.83,
2022.12,142.88,
2023.01,142.75,
2023.02,147.49,
